paper_arxiv_id,paper_title,repo_url,framework,year,subfield,conference,is_official,mentioned_in_paper
2306.02301,rPPG-MAE: Self-supervised Pre-training with Masked Autoencoders for Remote Physiological Measurement,https://github.com/linuxsino/rppg-mae,pytorch,2023,other_ml,,True,True
2309.02317,A study on the impact of pre-trained model on Just-In-Time defect prediction,https://github.com/aresxd/jit_defect_prediciton,pytorch,2023,other_ml,,True,True
2503.14495,Temporal Consistency for LLM Reasoning Process Error Identification,https://github.com/jcguo123/temporal-consistency,pytorch,2025,other_ml,,True,True
2202.08413,Entropic Associative Memory for Manuscript Symbols,https://github.com/eam-experiments/emnist,tf,2022,other_ml,,True,True
2205.07838,Physics-informed machine learning techniques for edge plasma turbulence modelling in computational theory and experiment,https://github.com/AbhilashMathews/PlasmaPINNtheory,tf,2022,other_ml,,True,True
2310.08785,DeltaSpace: A Semantic-aligned Feature Space for Flexible Text-guided Image Editing,https://github.com/yueming6568/deltaedit,pytorch,2023,other_ml,,True,True
2204.13679,Curriculum Learning for Dense Retrieval Distillation,https://github.com/hansizeng/cl-drd,pytorch,2022,other_ml,,True,True
2412.09530,Dynamic-VLM: Simple Dynamic Visual Token Compression for VideoLLM,https://github.com/hon-wong/bytevideollm,pytorch,2024,other_ml,,True,True
2303.09877,On the Effects of Self-supervision and Contrastive Alignment in Deep Multi-view Clustering,https://github.com/danieltrosten/deepmvc,pytorch,2023,other_ml,,True,True
2402.16017,Spectrum Extraction and Clipping for Implicitly Linear Layers,https://github.com/ali-e/fastclip,pytorch,2024,other_ml,,True,True
2409.05282,Improving Tree Probability Estimation with Stochastic Optimization and Variance Reduction,https://github.com/tyuxie/rwsvr,pytorch,2024,other_ml,,True,True
2210.04186,Analogy Generation by Prompting Large Language Models: A Case Study of InstructGPT,https://github.com/bhaavya/instructgpt-analogies,none,2022,other_ml,,True,True
2305.17611,Bayesian Decision Making to Localize Visual Queries in 2D,https://github.com/s-m-asjad/ego4d_vq2d,pytorch,2023,other_ml,,True,True
2207.08869,FLAIR: Federated Learning Annotated Image Repository,https://github.com/apple/ml-flair,tf,2022,other_ml,,True,True
2306.03284,Optimizing Sampling Patterns for Compressed Sensing MRI with Diffusion Generative Models,https://github.com/sriram-ravula/mri_sampling_diffusion,pytorch,2023,other_ml,,True,True
2503.08580,Comparing Next-Day Wildfire Predictability of MODIS and VIIRS Satellite Data,https://github.com/justuskarlsson/wildfire-mod14-vnp14,pytorch,2025,other_ml,,True,True
2507.10714,A Simple Approximate Bayesian Inference Neural Surrogate for Stochastic Petri Net Models,https://github.com/brightmanu-lang/spn-param-recovery,pytorch,2025,other_ml,,True,True
2205.12120,Extended molt phenology models improve inferences about molt duration and timing,https://github.com/pboesu/moultmcmc,none,2022,other_ml,,True,True
2204.02004,Bimodal Distributed Binarized Neural Networks,https://github.com/blueanon/bd-bnn,pytorch,2022,other_ml,,True,True
2204.12062,Scheduling Virtual Conferences Fairly: Achieving Equitable Participant and Speaker Satisfaction,https://github.com/gourabkumarpatro/fairconf,none,2022,other_ml,,True,True
2404.00848,Predictive Performance Comparison of Decision Policies Under Confounding,https://github.com/lguerdan/icml24_predictive_performance_comparison_dps,none,2024,other_ml,,True,True
2412.04789,"DrIFT: Autonomous Drone Dataset with Integrated Real and Synthetic Data, Flexible Views, and Transformed Domains",https://github.com/CARG-uOttawa/DrIFT,none,2024,other_ml,,True,True
2209.15210,Multi-Prompt Alignment for Multi-Source Unsupervised Domain Adaptation,https://github.com/haoranchen/multi-prompt-alignment-for-msuda,pytorch,2022,other_ml,multi-prompt-alignment-for-multi-source,True,True
2302.03924,CCRep: Learning Code Change Representations via Pre-Trained Code Model and Query Back,https://github.com/zju-ctag/ccrep,pytorch,2023,other_ml,,True,True
2501.02994,NeuroPMD: Neural Fields for Density Estimation on Product Manifolds,https://github.com/will-consagra/neuropmd,pytorch,2025,other_ml,,True,True
2410.01556,Integrative Decoding: Improve Factuality via Implicit Self-consistency,https://github.com/yicheng98/integrativedecoding,pytorch,2024,other_ml,,True,True
2206.05891,Anchor Sampling for Federated Learning with Partial Client Participation,https://github.com/harliwu/fedamd,pytorch,2022,other_ml,,True,True
2410.13415,Shavette: Low Power Neural Network Acceleration via Algorithm-level Error Detection and Undervolting,https://github.com/northund/ocdnn,none,2024,other_ml,,True,True
2210.08855,PeerDA: Data Augmentation via Modeling Peer Relation for Span Identification Tasks,https://github.com/damo-nlp-sg/peerda,pytorch,2022,other_ml,,True,True
2402.13402,Towards accelerating physical discovery via non-interactive and interactive multi-fidelity Bayesian Optimization: Current challenges and future opportunities,https://github.com/arpanbiswas52/imfbo_ising,none,2024,other_ml,,True,True
